name	description	visibility	lastmodified
4lch4/argus	A CLI utility for managing numerous SSH keys.	public	2022-07-08T06:35:33Z
4lch4/OCLIF-Template	A template project for building CLI applications with the OCLI Framework.	public	2022-07-08T05:59:33Z
4lch4/git-finder	Finds all directories that contain a git repository within a given directory.	public	2022-07-08T05:45:33Z
4lch4/blog-post-workflow	Show your latest blog posts from any sources or StackOverflow activity or Youtube Videos on your GitHub profile/project readme automatically using the RSS feed	public, fork	2022-07-08T05:44:47Z
4lch4/tilt	Define your dev environment as code. For microservice apps on Kubernetes.	public, fork	2022-07-08T01:51:45Z
4lch4/NPM-Init	A custom JavaScript module to replace the default `npm init` command.	public	2022-07-07T23:17:57Z
4lch4/deploy-sourcegraph-docker	Sourcegraph with Docker Compose deployment reference	public, fork	2022-07-07T18:21:26Z
4lch4/dashy	🚀 A self-hosted startpage for your server. Easy to use visual editor, status checking, widgets, themes and tons more!	public, fork	2022-07-07T17:09:03Z
4lch4/TPolls-FE	The Front End of TPolls, the website for TPolls, whatever you prefer to call it, this is it.	public	2022-07-07T16:06:31Z
4lch4/Sebastian	My timekeeping assistant.	public	2022-07-07T14:05:14Z
4lch4/Secretariat	An API for storing events/logs.	private	2022-07-07T07:45:14Z
4lch4/Dynatrace-API	An npm package for easily interacting with the Dynatrace API for your managed or SaaS instance.	public	2022-07-07T07:45:09Z
4lch4/Tailscale-Lib	A wrapper library for the Tailscale API.	public	2022-07-07T06:40:51Z
4lch4/Sindri	An API/website that will function similar to laravel.build, where you can use a curl command to get a build script to ease the start of developing a project.	public	2022-07-07T06:35:27Z
4lch4/Connor-CLI	The CLI component of Project Connor.	public	2022-07-07T06:35:22Z
4lch4/Dhall-Reader	A lightweight Node.js package for reading dhall config files.	public	2022-07-07T06:35:16Z
4lch4/Floo-Lib	A library for interacting with the Floo-API written in TypeScript.	public	2022-07-07T06:31:22Z
4lch4/obsidian-s3-sync	A plugin for Obsidian that will sync your repository with an S3 bucket.	public	2022-07-07T06:31:17Z
4lch4/Floo-API	An API that serves as a middle-man between a number of endpoints. Enabling you to send messages/notifications to a variety of locations, inspired by Apprise.	public	2022-07-07T05:26:25Z
4lch4/Floo-OG	A micro-service/API that will be used as the ingress/endpoint for any webhooks/integrations with my other services such as Discord or ADO or w/e.	public	2022-07-07T05:00:34Z
4lch4/Connor-Docs	The documentation site for Project Connor.	public	2022-07-07T02:30:47Z
4lch4/Floo-Docs	A website built with Docusaurus that provides documentation on how to use the Floo-API and Floo-UI.	public	2022-07-07T01:26:29Z
4lch4/NovaPoet	A blog setup for my buddy Corey to share his thoughts/art.	public	2022-07-07T01:26:05Z
4lch4/Distractible-Scores		private	2022-07-06T23:10:41Z
4lch4/Quorra	The front-end for Tron.	public	2022-07-06T22:10:37Z
4lch4/Tron	A discord chat bot developed to make socializing a bit more enjoyable on our servers.	public	2022-07-06T21:39:52Z
4lch4/DT-Aid	A CLI utility for managing/supporting a managed instance of Dynatrace.	private	2022-07-06T20:09:01Z
4lch4/NPM-Module-Template		public	2022-07-06T19:00:17Z
4lch4/TPolls	An API for creating and managing polls.	public	2022-07-06T18:02:13Z
4lch4/oclif.github.io	docs for oclif	public, fork	2022-07-06T08:06:03Z
4lch4/obsidian-icon-folder	🗂 Simply add icons to your folders in Obsidian.	public, fork	2022-07-06T03:29:34Z
4lch4/Kratos	A "batch" job that will download all of the videos from a YouTube channel using YouTube-dl.	public	2022-07-05T20:30:17Z
4lch4/hub	The official Espanso's package repository	public, fork	2022-07-05T17:26:50Z
4lch4/Metanoia	Convert IP addresses to Battle.net regions.	public	2022-07-05T16:40:51Z
4lch4/shields	Concise, consistent, and legible badges in SVG and raster format	public, fork	2022-07-04T22:38:10Z
4lch4/espanso	Cross-platform Text Expander written in Rust	public, fork	2022-07-04T19:48:51Z
4lch4/Clog	An API for storing "log" data in my cloud infrastructure.	public	2022-07-04T05:21:50Z
4lch4/Theia-API	A middle-man API for interacting with the Ackee GraphQL API in a REST format.	public	2022-07-04T05:15:41Z
